index,season,metric,value
12,2015-16,3P,87.0
13,2016-17,3P,124.0
14,2017-18,3P,149.0
15,2018-19,3P,111.0
16,2019-20,3P,148.0
17,2020-21,3P,104.0
18,2021-22,3P,55.0
0,2003-04,3P,63.0
1,2004-05,3P,108.0
2,2005-06,3P,127.0
3,2006-07,3P,99.0
4,2007-08,3P,113.0
5,2008-09,3P,132.0
6,2009-10,3P,129.0
7,2010-11,3P,92.0
8,2011-12,3P,54.0
9,2012-13,3P,103.0
10,2013-14,3P,116.0
11,2014-15,3P,120.0
12,2015-16,3P,87.0
13,2016-17,3P,124.0
14,2017-18,3P,149.0
15,2018-19,3P,111.0
16,2019-20,3P,148.0
17,2020-21,3P,104.0
18,2021-22,3P,55.0
0,2003-04,3P,63.0
1,2004-05,3P,108.0
2,2005-06,3P,127.0
3,2006-07,3P,99.0
4,2007-08,3P,113.0
5,2008-09,3P,132.0
6,2009-10,3P,129.0
7,2010-11,3P,92.0
8,2011-12,3P,54.0
9,2012-13,3P,103.0
10,2013-14,3P,116.0
11,2014-15,3P,120.0
12,2015-16,3P,87.0
13,2016-17,3P,124.0
14,2017-18,3P,149.0
15,2018-19,3P,111.0
16,2019-20,3P,148.0
17,2020-21,3P,104.0
18,2021-22,3P,55.0
0,2003-04,2P,559.0
1,2004-05,2P,687.0
2,2005-06,2P,748.0
3,2006-07,2P,673.0
4,2007-08,2P,681.0
5,2008-09,2P,657.0
6,2009-10,2P,639.0
7,2010-11,2P,666.0
8,2011-12,2P,567.0
9,2012-13,2P,662.0
10,2013-14,2P,651.0
11,2014-15,2P,504.0
12,2015-16,2P,650.0
13,2016-17,2P,612.0
14,2017-18,2P,708.0
15,2018-19,2P,447.0
16,2019-20,2P,495.0
17,2020-21,2P,318.0
18,2021-22,2P,158.0
0,2003-04,2P,559.0
1,2004-05,2P,687.0
2,2005-06,2P,748.0
3,2006-07,2P,673.0
4,2007-08,2P,681.0
5,2008-09,2P,657.0
6,2009-10,2P,639.0
7,2010-11,2P,666.0
8,2011-12,2P,567.0
9,2012-13,2P,662.0
10,2013-14,2P,651.0
11,2014-15,2P,504.0
12,2015-16,2P,650.0
13,2016-17,2P,612.0
14,2017-18,2P,708.0
15,2018-19,2P,447.0
16,2019-20,2P,495.0
17,2020-21,2P,318.0
18,2021-22,2P,158.0
0,2003-04,2P,559.0
1,2004-05,2P,687.0
2,2005-06,2P,748.0
3,2006-07,2P,673.0
4,2007-08,2P,681.0
5,2008-09,2P,657.0
6,2009-10,2P,639.0
7,2010-11,2P,666.0
8,2011-12,2P,567.0
9,2012-13,2P,662.0
10,2013-14,2P,651.0
11,2014-15,2P,504.0
12,2015-16,2P,650.0
13,2016-17,2P,612.0
14,2017-18,2P,708.0
15,2018-19,2P,447.0
16,2019-20,2P,495.0
17,2020-21,2P,318.0
18,2021-22,2P,158.0
0,2003-04,2P,559.0
1,2004-05,2P,687.0
2,2005-06,2P,748.0
3,2006-07,2P,673.0
4,2007-08,2P,681.0
5,2008-09,2P,657.0
6,2009-10,2P,639.0
7,2010-11,2P,666.0
8,2011-12,2P,567.0
9,2012-13,2P,662.0
10,2013-14,2P,651.0
11,2014-15,2P,504.0
12,2015-16,2P,650.0
13,2016-17,2P,612.0
14,2017-18,2P,708.0
15,2018-19,2P,447.0
16,2019-20,2P,495.0
17,2020-21,2P,318.0
18,2021-22,2P,158.0
0,2003-04,2P,559.0
1,2004-05,2P,687.0
2,2005-06,2P,748.0
3,2006-07,2P,673.0
4,2007-08,2P,681.0
5,2008-09,2P,657.0
6,2009-10,2P,639.0
7,2010-11,2P,666.0
8,2011-12,2P,567.0
9,2012-13,2P,662.0
10,2013-14,2P,651.0
11,2014-15,2P,504.0
12,2015-16,2P,650.0
13,2016-17,2P,612.0
14,2017-18,2P,708.0
15,2018-19,2P,447.0
16,2019-20,2P,495.0
17,2020-21,2P,318.0
18,2021-22,2P,158.0
0,2003-04,FT,347.0
1,2004-05,FT,477.0
2,2005-06,FT,601.0
3,2006-07,FT,489.0
4,2007-08,FT,549.0
5,2008-09,FT,594.0
6,2009-10,FT,593.0
7,2010-11,FT,503.0
8,2011-12,FT,387.0
9,2012-13,FT,403.0
10,2013-14,FT,439.0
11,2014-15,FT,375.0
12,2015-16,FT,359.0
13,2016-17,FT,358.0
14,2017-18,FT,388.0
15,2018-19,FT,278.0
16,2019-20,FT,264.0
17,2020-21,FT,178.0
18,2021-22,FT,82.0
0,2003-04,FT,347.0
1,2004-05,FT,477.0
2,2005-06,FT,601.0
3,2006-07,FT,489.0
4,2007-08,FT,549.0
5,2008-09,FT,594.0
6,2009-10,FT,593.0
7,2010-11,FT,503.0
8,2011-12,FT,387.0
9,2012-13,FT,403.0
10,2013-14,FT,439.0
11,2014-15,FT,375.0
12,2015-16,FT,359.0
13,2016-17,FT,358.0
14,2017-18,FT,388.0
15,2018-19,FT,278.0
16,2019-20,FT,264.0
17,2020-21,FT,178.0
18,2021-22,FT,82.0
0,2003-04,FT,347.0
1,2004-05,FT,477.0
2,2005-06,FT,601.0
3,2006-07,FT,489.0
4,2007-08,FT,549.0
5,2008-09,FT,594.0
6,2009-10,FT,593.0
7,2010-11,FT,503.0
8,2011-12,FT,387.0
9,2012-13,FT,403.0
10,2013-14,FT,439.0
11,2014-15,FT,375.0
12,2015-16,FT,359.0
13,2016-17,FT,358.0
14,2017-18,FT,388.0
15,2018-19,FT,278.0
16,2019-20,FT,264.0
17,2020-21,FT,178.0
18,2021-22,FT,82.0
0,2003-04,FT,347.0
1,2004-05,FT,477.0
2,2005-06,FT,601.0
3,2006-07,FT,489.0
4,2007-08,FT,549.0
5,2008-09,FT,594.0
6,2009-10,FT,593.0
7,2010-11,FT,503.0
8,2011-12,FT,387.0
9,2012-13,FT,403.0
10,2013-14,FT,439.0
11,2014-15,FT,375.0
12,2015-16,FT,359.0
13,2016-17,FT,358.0
14,2017-18,FT,388.0
15,2018-19,FT,278.0
16,2019-20,FT,264.0
17,2020-21,FT,178.0
18,2021-22,FT,82.0
0,2003-04,FT,347.0
1,2004-05,FT,477.0
2,2005-06,FT,601.0
3,2006-07,FT,489.0
4,2007-08,FT,549.0
5,2008-09,FT,594.0
6,2009-10,FT,593.0
7,2010-11,FT,503.0
8,2011-12,FT,387.0
9,2012-13,FT,403.0
10,2013-14,FT,439.0
11,2014-15,FT,375.0
12,2015-16,FT,359.0
13,2016-17,FT,358.0
14,2017-18,FT,388.0
15,2018-19,FT,278.0
16,2019-20,FT,264.0
17,2020-21,FT,178.0
18,2021-22,FT,82.0
0,2003-04,TRB,432.0
1,2004-05,TRB,588.0
2,2005-06,TRB,556.0
3,2006-07,TRB,526.0
4,2007-08,TRB,592.0
5,2008-09,TRB,613.0
6,2009-10,TRB,554.0
7,2010-11,TRB,590.0
8,2011-12,TRB,492.0
9,2012-13,TRB,610.0
10,2013-14,TRB,533.0
11,2014-15,TRB,416.0
12,2015-16,TRB,565.0
13,2016-17,TRB,639.0
14,2017-18,TRB,709.0
15,2018-19,TRB,465.0
16,2019-20,TRB,525.0
17,2020-21,TRB,346.0
18,2021-22,TRB,141.0
0,2003-04,TRB,432.0
1,2004-05,TRB,588.0
2,2005-06,TRB,556.0
3,2006-07,TRB,526.0
4,2007-08,TRB,592.0
5,2008-09,TRB,613.0
6,2009-10,TRB,554.0
7,2010-11,TRB,590.0
8,2011-12,TRB,492.0
9,2012-13,TRB,610.0
10,2013-14,TRB,533.0
11,2014-15,TRB,416.0
12,2015-16,TRB,565.0
13,2016-17,TRB,639.0
14,2017-18,TRB,709.0
15,2018-19,TRB,465.0
16,2019-20,TRB,525.0
17,2020-21,TRB,346.0
18,2021-22,TRB,141.0
0,2003-04,TRB,432.0
1,2004-05,TRB,588.0
2,2005-06,TRB,556.0
3,2006-07,TRB,526.0
4,2007-08,TRB,592.0
5,2008-09,TRB,613.0
6,2009-10,TRB,554.0
7,2010-11,TRB,590.0
8,2011-12,TRB,492.0
9,2012-13,TRB,610.0
10,2013-14,TRB,533.0
11,2014-15,TRB,416.0
12,2015-16,TRB,565.0
13,2016-17,TRB,639.0
14,2017-18,TRB,709.0
15,2018-19,TRB,465.0
16,2019-20,TRB,525.0
17,2020-21,TRB,346.0
18,2021-22,TRB,141.0
0,2003-04,TRB,432.0
1,2004-05,TRB,588.0
2,2005-06,TRB,556.0
3,2006-07,TRB,526.0
4,2007-08,TRB,592.0
5,2008-09,TRB,613.0
6,2009-10,TRB,554.0
7,2010-11,TRB,590.0
8,2011-12,TRB,492.0
9,2012-13,TRB,610.0
10,2013-14,TRB,533.0
11,2014-15,TRB,416.0
12,2015-16,TRB,565.0
13,2016-17,TRB,639.0
14,2017-18,TRB,709.0
